zip,population,latitude,longitude
85351,29107,33.60392014999999,-112.28629985
85375,28759,48.3157863,11.6884062
85006,28176,33.46644055,-112.04794662160818
86409,28158,35.23630423189484,-114.01532319916441
85742,27899,32.3568632,-111.0922691
85304,27746,33.595984099999995,-112.18646957747423
85014,27395,33.5234613,-112.0491950418029
85019,26659,33.51588365,-112.14240025235583
85641,26441,62.39901240407278,17.330832112310816
85718,26398,32.32489685,-110.930951594587
85747,25777,32.09179115,-110.80976131521179
86401,25709,35.22028375684713,-113.92363951662955
85381,25446,33.6021781,-112.23694714999999
85629,25362,31.947699920802954,-110.98771065686714
85306,25206,33.60939545,-112.18722960806568
85258,25152,33.5582723,-111.88653167501491
86326,25015,34.727033783019586,-112.01352781312943
85268,24812,33.59054750156573,-111.72059120295332
85024,24675,33.675698499999996,-112.02978522631854
85750,24535,32.297015200000004,-110.83056067010692
85614,23617,48.0719023,11.8932146
85259,23124,48.2974917,11.230386602532558
86406,22995,34.45235415,-114.26417660917838
86301,22919,34.547429550000004,-112.4607606
85367,22526,32.6590456,-114.41179240187408
85119,22447,48.7317631,11.5778262
85350,22306,46.7253791,-2.3471281
85621,22274,31.34644195,-110.93027936048213
85085,22211,33.7124165,-112.10811514586777
85541,21812,34.24219825,-111.32097673793294
85737,21795,48.2341592,11.68664
85013,20902,33.5023638,-112.08162957505509
85546,20765,32.8350078,-109.73102690018764
85757,20312,48.23016475,11.460449892734015
85648,19771,31.472761064940922,-110.96804266826409
85310,19649,46.5435087,-1.3349396
85083,19605,33.7102074,-112.12055152317073
85028,19389,33.59552975,-112.0338413
85131,19387,48.93913555,11.211589808457548
85373,19088,48.10576974005805,37.002735673934886
85396,19085,33.54153449854573,-112.59200284026666
85284,18945,33.3500729,-111.89503727387995
85749,18813,32.26424791083079,-110.78654109144314
85253,18643,33.581122500000006,-111.96119114999999
85739,18511,32.5248986,-110.91859909691597
85748,18372,48.241542,11.6513675
85901,18344,34.25809158225996,-110.03650700040373
86305,18204,58.151313315612256,24.97608254156816
85139,18184,48.83712755,11.41486793847546
86403,18119,34.484115305511125,-114.3432613799594
85653,17978,32.4560988,-111.2165974415069
85250,17734,33.53646745,-111.88391638925026
86303,17194,34.5432926,-112.54489075000001
85715,17137,32.23770505,-110.84745199005101
85215,16929,33.469657850000004,-111.6835520006364
85128,16745,48.80083797122309,11.2255826085856
86404,16525,58.192916390134805,24.775762036367617
85755,16434,32.44660203986588,-110.95211421542179
86323,16394,34.73101616666667,-112.45449606666666
85650,15747,31.4698332,-110.26763472010393
85714,15693,32.16783308509227,-110.94417839050104
85607,15411,31.370276990597297,-109.56904143056218
86047,15393,41.71258,14.99142
85007,14751,33.451571400000006,-112.0938338249
86426,14587,34.987633900000006,-114.571085
85501,13020,33.39640637411218,-110.78752647578186
85266,12937,33.780035830229046,-111.92386238973708
85118,12908,33.32193960174861,-111.35248231287208
85305,12760,33.5350853,-112.2610037
86413,12574,35.032640201817486,-114.29191939218185
85355,12385,33.544346353868164,-112.44579832730354
86322,12002,34.57944735170788,-111.86522834095692
85123,11845,48.6434661,11.389963351397764
86336,11788,34.85137948700546,-111.78812712296677
86045,11634,36.12862293627817,-111.23546927929169
85658,11586,32.425161450000004,-111.151465
85262,11546,33.728339399999996,-111.8531530576775
85735,11274,32.17665884208903,-111.14573072231542
85307,11212,33.53604034999999,-112.3564826250373
85941,11149,33.85704471104752,-109.96254947192321
86503,11143,36.154887423752804,-109.57788956316071
86040,10821,41.5738997225322,14.937797142543978
85344,10741,34.1549566,-114.27749405654973
85387,10651,33.68275878431205,-112.43271616148787
87327,9560,35.08250538470239,-108.79991743913175
85615,9442,31.4195488,-110.441665
86011,9124,35.18264557254195,-111.65424546649457
85602,9033,31.96936888103443,-110.31700130470082
86327,9010,34.5028953,-112.24185729626589
85390,8706,46.67604875000001,-0.8739453026746014
85087,8510,33.88927285484972,-112.10610846859373
85643,8475,62.40380577142709,17.327959471251013
85003,8419,33.4497833,-112.08437714925303
86505,8002,48.307902049999996,10.451899458833498
85937,7793,34.51803775,-110.10566285674741
86429,7743,35.1597302395662,-114.5469430321803
86315,7676,34.65512878581184,-112.32143138824091
85354,7547,33.50136765,-112.8140579250092
85194,7472,32.8791198,-111.68119635025249
86333,7417,62.46539890984177,17.35227174888123
86440,7329,46.6305464,0.3027219888255417
85045,7063,33.2985609,-112.1371588
85012,7012,33.5106618,-112.07407295562007
86504,7003,48.24384397314296,10.987878621295287
85054,6896,33.6503194,-111.93457155
85603,6770,31.415169224908073,-109.89701133985625
85363,6747,48.24670825852951,37.21000258490204
85634,6637,62.40805015,17.382156382023446
85552,6572,47.68795888413585,36.80464634445322
85004,6552,33.4579267,-112.06717531959144
86351,6323,34.77975696679209,-111.7691658650822
85622,6233,48.1481104,11.73755435
86021,6023,41.48387331897943,14.472659381938355
85256,5862,33.54093775,-111.87687920051292
85361,5743,-10.1483439,123.724483
86025,5660,41.59527197210549,14.66929661775154
85613,5480,31.55439825,-110.29802011475759
86325,5449,34.70715227756787,-111.93279493367301
85616,5384,31.6420342,-110.3384932
86335,5364,34.639842788256445,-111.80963699217641
85701,5347,32.2157899,-110.9599652
85623,5337,32.60442836367513,-110.77918718438141
86046,5266,35.29720904842409,-112.17020731884813
85193,5077,32.843902398955095,-111.79981121372602
85550,4994,46.8741001,-2.1145292135829044
85608,4978,31.561527036144593,-109.38198314457829
85925,4938,34.115765637821795,-109.30891060281195
85356,4889,48.41231455,11.783818172548518
85935,4832,34.123494174829666,-109.9274606384974
85034,4772,33.43409425,-112.04834109965586
86510,4693,46.32219509481898,0.0030376209065598944
86515,4672,35.66614720285372,-109.05651987982333
85736,4612,32.08000537693459,-111.27570664996034
85539,4595,33.39565009028997,-110.87584753979623
